1,13,2,-0.00927027388045629,-0.00435536095602562
1,18,2,2.3332908086816e-07,0.0214292004382313
1,12,3,0.00405760208520457,0.00947452301345562
1,21,3,-8.29765329248552e-06,0.0156445929761082
1,23,6,0.000341679148901164,0.0437281145618313
1,29,6,-0.000164423716680211,0.0403274713453744
1,25,7,1.42673823551618e-09,0.0134605210071811
1,10,8,3.1958623744685e-06,0.0168031220261609
1,15,8,0.00743095293873612,0.0145701390935807
1,18,8,3.48203291631457e-07,0.0265043354548307
1,19,9,-2.02383507244693e-05,0.0491457001503963
1,28,9,-1.07213561944757e-05,0.0603553982634993
1,8,10,3.64329006139992e-06,0.0108412219655612
1,14,10,-0.0006309439834633,0.0228422676942429
1,19,10,-7.74247414655626e-05,0.0422359641457428
1,23,11,0.000419245561944874,0.0184885121243676
1,3,12,0.00292056186299681,0.00764624147723018
1,2,13,0.0015810538775947,0.0205484542779532
1,15,13,-0.00743095293873612,0.0145701390935807
1,10,14,-2.24227458775761e-06,0.0200455320931396
1,18,14,1.7786625113911e-07,0.0661626951272022
1,29,14,5.22421630450056e-05,0.0599479537247997
1,8,15,-1.85342968451151e-06,0.0188186659312338
1,13,15,0.00927027388045629,-0.00435536095602562
1,2,18,-0.0015810538775947,0.0205484542779532
1,8,18,4.45866599619872e-06,0.014309717243052
1,14,18,-0.000800093514148895,0.06313707757767
1,9,19,0.00611507403735532,0.0433461867648184
1,10,19,1.13540615828008e-06,0.0366715575308294
1,26,19,0.0080396573832838,0.0123369131256658
1,3,21,-0.00292056186299681,0.00764624147723018
1,26,21,-0.0080396573832838,0.0123369131256658
1,23,22,5.40114540961866e-05,0.06536356334426
1,28,22,1.93652571633959e-05,0.0213242894034722
1,6,23,0.0066959074819557,0.0326511232994592
1,11,23,1.44892247524845e-06,0.0159202094828673
1,22,23,-4.74780193834653e-05,0.0623534334456461
1,27,23,6.49623265518806e-11,0.0390619360089064
1,27,24,2.24367662120123e-09,0.0230234574788616
1,7,25,0.00585075224619662,0.027889228867235
1,29,25,0.000188213420987756,0.0426694986000385
1,19,26,-0.000106720768431578,0.019615565786189
1,21,26,8.85121857501192e-06,0.0228492519098057
1,23,27,0.000476728680948996,0.0707632313541127
1,24,27,-3.37026021524316e-07,0.00636787032112568
1,9,28,-0.00611507403735532,0.0433461867648184
1,22,28,0.000107963050568908,0.032667554274598
1,6,29,-0.0066959074819557,0.0326511232994592
1,14,29,0.000496754449352858,0.0679899231240272
1,25,29,8.04917448478164e-11,0.0316765192161323
1,7,-1,-0.00585075224619662,0.027889228867235
1,12,-1,-0.00405760208520457,0.00947452301345562
1,18,-1,3.79697169079388e-07,0.0544174721481011
1,21,-1,-4.92870210842062e-06,0.0236263823646568
1,22,-1,0.000118531596436606,0.0529502631889723
1,25,-1,1.50722991588863e-09,0.0271994467601035
1,27,-1,2.30860272804632e-09,0.0293938294957128
1,28,-1,1.79628179293992e-05,0.0402712607767629
